entered_by,entered_date,collected_by,collected_date,row,column,position,transect,point,hitnumber_1,hitnumber_2,hitnumber_3,hitnumber_4,hitnumber_5,notes,checked,corrections
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.4,BRODIA,LIT,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.5,HORMUR,BRODIA,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.6,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.7,HORMUR,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.8,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.9,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.1,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.2,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.3,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.4,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.5,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.6,HORMUR ,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.7,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.8,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,0.9,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.1,BROMAD,HORMUR,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.2,AMSMEN,BRODIA,BROMAD,EROMOS,LIT,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.3,EROMOS,BG,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.4,AMSMEN,BG,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.5,AMSMEN,HORMUR,BROMAD,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.6,AMSMEN,BROMAD,LIT,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.7,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.8,BRATOR,LIT,BG,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,1.9,BROMAD,EROMOS,BG,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2,BRATOR,AMSMEN,EROMOS,LIT,BG,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.1,BRATOR,HORMUR,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.2,BRATOR,BROMAD,BG,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.3,HORMUR,BRODIA,EROMOS,LIT,BG,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.4,BRODIA,BROMAD,LIT,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.5,BRATOR,BRODIA,LIT,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.6,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.7,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.8,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,3,2.9,LIT,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,P,P,CRYINT,,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0,BRODIA,LIT,,,,,,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.1,BROMAD,,,,,,,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.2,BROMAD,HORMUR,LIT,,,,,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.3,HORMUR,LIT,,,,,,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.4,BROMAD,BRODIA,LIT,,,,,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.5,BROMAD,LIT,,,,,,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.6,BROMAD,AMSMEN,LIT,,,,fixed,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.7,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.8,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,0.9,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1,HORMUR,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.1,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.2,BROMAD,HORMUR,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.3,HORMUR,BROMAD,BG,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.4,BROMAD,BRATOR,BG,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.5,BROMAD,LIT,BG,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.6,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.7,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.8,BROMAD,BRATOR,LIT,BG,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,1.9,HORMUR,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.1,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.2,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.3,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.4,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.5,AMSMEN,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.6,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.7,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.8,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,1,2.9,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.1,BRODIA,BROMAD,AMSMEN,LIT,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.2,AMSMEN,BRODIA,BROMAD,LIT,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.3,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.4,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.5,BRODIA,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.6,BROMAD,BG,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.7,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.8,BRODIA,BG,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,0.9,LIT,BRATOR,BG,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1,BROMAD,,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.1,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.2,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.3,HORMUR,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.4,HORMUR,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.5,BROMAD,BG,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.6,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.7,BRODIA,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.8,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,1.9,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2,HORMUR,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.1,BROMAD,EROMOS,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.2,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.3,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.4,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.5,HORMUR,EROMOS,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.6,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.7,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.8,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,2,2.9,BROMAD,BRODIA,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0,HORMUR,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.1,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.2,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.3,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.4,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.5,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.6,HORMUR,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.7,BROMAD,BRODIA,HORMUR,LIT,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.8,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,0.9,BROMAD,BG,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.1,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.2,BROMAD,BG,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.3,BRODIA,BG,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.4,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.5,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.6,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.7,BROMAD,HORMUR,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.8,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,1.9,HORMUR,BROMAD,LIT,,,,fixed,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2,LIT,,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.1,BROMAD,BRODIA,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.2,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.3,BROMAD,HORMUR,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.4,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.5,BRODIA,BROMAD,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.6,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.7,BROMAD,HORMUR,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.8,BROMAD,EROCIC,LIT,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,3,2.9,BROMAD,LIT,,,,,checked,
Advyth,2021-06-27,"JAH, MF, ARP",2021-03-17,A,1,U,P,P,LUPTRU,,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.1,BROMAD ,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.2,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.3,LIT,,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.4,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.5,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.6,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.7,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.8,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,0.9,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.1,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.2,HORMUR,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.3,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.4,BRODIA,HORMUR,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.5,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.6,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.7,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.8,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,1.9,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.1,BRODIA,HORMUR,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.2,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.3,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.4,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.5,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.6,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.7,HORMUR,BRODIA,BG,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.8,LIT,BG,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,1,2.9,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0,BRODIA,HORMUR,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.1,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.2,LIT,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.3,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.4,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.5,LIT,BRODIA,BG,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.6,BRODIA,LIT,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.7,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.8,BRODIA,LIT,BRODIA,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,0.9,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,1,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,1.1,BROMAD,LIT,,,,,fixed,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,1.2,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,1.3,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,2,L,2,1.4,BROMAD,LIT,,,,,checked,
