entered_by,entered_date,collected_by,collected_date,row,column,position,transect,point,hitnumber_1,hitnumber_2,hitnumber_3,hitnumber_4,hitnumber_5,gopher_hole,notes,corrections
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.4,BRATOR,BROMAD,BG,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.5,BROMAD,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.6,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,2.9,BRATOR,BRODIA,LIT,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.2,BRODIA,BROMAD,LIT,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.4,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.5,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.6,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.7,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.8,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,0.9,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1,BG,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.1,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.2,BG,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.3,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.4,BRATOR,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.6,BROMAD,BRODIA,LIT,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.8,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,1.9,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.1,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.3,BROMAD,BRODIA,LIT,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.5,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.7,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.8,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,3,2.9,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,P,P,AMSMEN,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.3,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.4,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.5,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.8,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,0.9,AMSMEN,BRODIA,LIT,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.1,AMSMEN,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.2,BG,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,1.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.4,BROMAD,BRODIA,LIT,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.5,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.6,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.8,AMSMEN,BRODIA,LIT,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,1,2.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.5,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,0.9,BG,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1,BROMAD,BG,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.3,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.7,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.8,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,1.9,AMSMEN,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.4,BRODIA,AMSMEN,LIT,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.7,AMSMEN,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,2,2.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.1,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.3,BROMAD,BG,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.5,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.7,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.8,AMSMEN,BRODIA,BG,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,0.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.2,BRODIA,BG,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,1.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.4,AMSMEN,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.6,BG,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.7,BG,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.8,BG,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,3,2.9,BROMAD,BG,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,P,P,HORMUR,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,P,P,NEMMEN,,,,,,,
Tejas,2022-04-06,"RA, CI",2022-02-25,A,2,U,P,P,BRATOR,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.3,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.4,BRODIA,AMSMEN,BG,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.8,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,0.9,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.1,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.2,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.3,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.4,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.5,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.6,AMSMEN,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.8,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,1.9,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.2,LIT,BG,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.3,EROCIC,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.4,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.5,BRATOR,BG,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.6,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.7,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.8,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,1,2.9,BRATOR,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.2,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.3,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.4,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.5,CRYINT,BG,,,,,,CRYMIK = CRYINT
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.6,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.7,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.8,BRATOR,BG,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,0.9,BRODIA,BG,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.3,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.4,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.5,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.6,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.7,BROMAD,BG,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.8,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,1.9,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.1,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.2,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.3,BG,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.4,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.5,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.6,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.7,BRATOR,BROMAD,LIT,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.8,BROMAD,BG,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,2,2.9,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,3,0,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,3,0.1,LIT,,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,3,0.2,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"RA, CI, AR",2022-02-25,A,3,U,3,0.3,AMSMEN,BG,,,,,,
